rank,flat_index,alpha_addr,beta_addr,alpha_string,beta_string,coeff_abs,coeff
88,431517,467,9,2110,183,0.03537022618305835,-0.03537022618305835
89,8783,9,467,183,2110,0.03536691181835871,-0.03536691181835871
90,6475,7,7,159,159,0.035262562481491615,-0.035262562481491615
91,134125,145,145,807,807,0.034560690620294814,0.034560690620294814
92,197745,214,9,1085,183,0.03369059917228573,0.03369059917228573
93,8530,9,214,183,1085,0.03368761923264231,0.03368761923264231
94,7606,8,214,175,1085,0.033060183637355,-0.033060183637355
95,197744,214,8,1085,175,0.03305732782095542,-0.03305732782095542
96,431516,467,8,2110,175,0.03284030263227151,0.03284030263227151
97,7859,8,467,175,2110,0.03283907330666521,0.03283907330666521
98,26825,29,29,303,303,0.03257867827785007,-0.03257867827785007
99,10375,11,211,189,1071,0.032551146506249296,-0.032551146506249296
100,194975,211,11,1071,189,0.0325499345288951,-0.0325499345288951
