rank,flat_index,alpha_addr,beta_addr,alpha_string,beta_string,coeff_abs,coeff
78,195976,212,88,1079,573,0.037995301724776685,-0.037995301724776685
79,27749,30,29,311,303,0.03736516555774884,0.03736516555774884
80,26826,29,30,303,311,0.03732561616385153,0.03732561616385153
81,27750,30,30,311,311,0.0370171487971086,-0.0370171487971086
82,7396,8,4,175,123,0.0364866414324532,-0.0364866414324532
83,3704,4,8,123,175,0.036463402719498904,-0.036463402719498904
84,431517,467,9,2110,183,0.036193430734386814,-0.036193430734386814
85,8783,9,467,183,2110,0.0361741275906622,-0.0361741275906622
86,11552,12,464,190,2103,0.035456379772085954,-0.035456379772085954
87,428748,464,12,2103,190,0.03545317638352026,-0.03545317638352026
88,134125,145,145,807,807,0.03538977145999074,0.03538977145999074
89,10376,11,212,189,1079,0.034842669569366005,0.034842669569366005
90,195899,212,11,1079,189,0.03483826315906475,0.03483826315906475
91,197745,214,9,1085,183,0.03456532549614819,0.03456532549614819
92,8530,9,214,183,1085,0.034535613663547,0.034535613663547
93,6475,7,7,159,159,0.034227074292631596,-0.034227074292631596
94,7606,8,214,175,1085,0.03371650253068146,-0.03371650253068146
95,197744,214,8,1085,175,0.03369662170364479,-0.03369662170364479
96,7859,8,467,175,2110,0.0336651319988648,0.0336651319988648
97,431516,467,8,2110,175,0.03366390155150688,0.03366390155150688
98,26825,29,29,303,303,0.03232542152824936,-0.03232542152824936
99,10375,11,211,189,1071,0.03188537736351195,-0.03188537736351195
100,194975,211,11,1071,189,0.031876987909266075,-0.031876987909266075
