iter,selected_dim,E_var,gap_mHa,added,gain_mHa,gain_per_kdet,candidate_count,top_score,top_abs_residual,top_denom_signed,pt2_pool_Ha,wall_seconds
11,12001,-2086.6362288565246672,14.604458838221,1000,1.468264560572,1.468264560572,743606,3.2082082337652648e-06,0.0018800593059833653,-1.1017436327274481,-0.012965441254498973,89.999
12,13001,-2086.6374569846170743,13.376330745814,1000,1.228128092407,1.228128092407,755496,2.1688431115355684e-06,0.002001245892327082,-1.8465997380144472,-0.0117420143490964,105.204
13,14001,-2086.6385273618643623,12.305953498526,1000,1.070377247288,1.070377247288,764834,2.009845561629053e-06,0.002433746916076971,-2.947054323275097,-0.010681003070788302,121.355
14,15001,-2086.6394400356762162,11.393279686672,1000,0.912673811854,0.912673811854,772425,1.6881012209840811e-06,0.002317311919730597,-3.181050085489005,-0.009811525241367816,131.469
15,16001,-2086.6402694380371940,10.563877325694,1000,0.829402360978,0.829402360978,779407,1.2514092605036862e-06,0.0012372629059692291,-1.2232764666223375,-0.009116176032592483,145.341
16,17001,-2086.6409911592522803,9.842156110608,1000,0.721721215086,0.721721215086,785297,1.057492779307058e-06,0.0011698524061297926,-1.2941503515744444,-0.008452717881588913,157.927
17,18001,-2086.6416210726247300,9.212242738158,1000,0.629913372450,0.629913372450,788988,1.089877646090757e-06,0.001521650011115379,-2.124475866288776,-0.007861194456531077,173.668
18,19001,-2086.6421825323286612,8.650783034227,1000,0.561459703931,0.561459703931,793148,9.568849218832e-07,0.001339967294337881,-1.8764140899634185,-0.007363421113302051,186.404
19,20001,-2086.6426874577764465,8.145857586442,1000,0.504925447785,0.504925447785,796076,8.011267063108174e-07,0.0011298764493619501,-1.5935316857699036,-0.0069138254940483345,200.932
20,21001,-2086.6431555915573881,7.677723805500,1000,0.468133780942,0.468133780942,798847,7.76009112249506e-07,0.0013059103761646888,-2.1976570682668353,-0.006525970370599355,215.746
21,22001,-2086.6435861505296998,7.247164833188,1000,0.430558972312,0.430558972312,801728,6.488235775027777e-07,0.0009829105138888584,-1.4890227664532176,-0.00615529944472543,227.996
22,23001,-2086.6439770134516039,6.856301911284,1000,0.390862921904,0.390862921904,803167,6.9631507972759e-07,0.001377947910198127,-2.726840906507732,-0.0058251015756744596,241.522
23,24001,-2086.6443433438971624,6.489971465726,1000,0.366330445559,0.366330445559,804765,5.446856918143836e-07,0.0012512622816246402,-2.8744233985680694,-0.005521125261329481,256.352
24,25001,-2086.6446795954752815,6.153719887607,1000,0.336251578119,0.336251578119,805443,5.138815337863814e-07,0.0012113601646070056,-2.855509201867335,-0.0052477801043958865,267.435
25,26001,-2086.6449864573060040,5.846858056884,1000,0.306861830722,0.306861830722,806164,4.3292610999075937e-07,0.0012319513701893581,-3.505688715665201,-0.005006137890516426,280.401
26,27001,-2086.6452700759532490,5.563239409639,1000,0.283618647245,0.283618647245,806999,3.919062930875511e-07,0.0007549048710772126,-1.4541265971679422,-0.004766872958098557,294.096
27,28001,-2086.6455354752442872,5.297840118601,1000,0.265399291038,0.265399291038,807547,3.6718201106789835e-07,0.0007883573824972586,-1.692641098430613,-0.004544487995314695,307.598
28,29001,-2086.6457842240688478,5.049091294040,1000,0.248748824561,0.248748824561,807965,3.178052014318555e-07,0.0008899306555804287,-2.4920189102431323,-0.00433298349876769,318.089
29,30001,-2086.6460130525574641,4.820262805424,1000,0.228828488616,0.228828488616,808094,3.004521702289392e-07,0.0007577112137013716,-1.9108741432332863,-0.004139152542153381,331.421
30,31001,-2086.6462287290523818,4.604586310506,1000,0.215676494918,0.215676494918,808554,3.1643127109757744e-07,0.0006884854432635823,-1.497994189833662,-0.003958705305424097,341.483
31,32001,-2086.6464300212496710,4.403294113217,1000,0.201292197289,0.201292197289,808774,2.726418489209032e-07,0.0006882832327708571,-1.7375682067463458,-0.0037898185054023575,356.751
32,33001,-2086.6466200095078420,4.213305855046,1000,0.189988258171,0.189988258171,808557,2.5921124605832364e-07,0.0006451269088723842,-1.6055967280740333,-0.0036352716719075975,371.758
33,34001,-2086.6468001676767017,4.033147686187,1000,0.180158168860,0.180158168860,808478,2.572046552200386e-07,0.0006231146205564023,-1.5095832150432216,-0.003489493482062217,385.227
34,35001,-2086.6469699818167101,3.863333546178,1000,0.169814140008,0.169814140008,808123,2.310768164573267e-07,0.00045794554887655713,-0.9075515620779697,-0.0033484971014139725,399.692
