rank,flat_index,alpha_addr,beta_addr,alpha_string,beta_string,excitation_rank,coeff_abs,coeff,Hii
40,6496,7,28,159,287,2,0.05337613508289185,0.05337613508289185,-2085.6696583241182
41,27729,30,9,311,183,2,0.05147392799764373,-0.05147392799764373,-2085.813176131874
42,8346,9,30,183,311,2,0.05146877759284959,-0.05146877759284959,-2085.813176131874
43,80390,87,2,571,111,2,0.051285273296101955,-0.051285273296101955,-2085.938792415483
44,1935,2,87,111,571,2,0.051285236628120706,-0.051285236628120706,-2085.938792415483
45,101785,110,145,679,807,4,0.05070783645957038,0.05070783645957038,-2085.5788488670155
46,134090,145,110,807,679,4,0.05070558504891153,0.05070558504891153,-2085.5788488670155
47,80391,87,3,571,119,2,0.04877133538405423,-0.04877133538405423,-2085.9373268336903
48,2859,3,87,119,571,2,0.048769761505548404,-0.048769761505548404,-2085.9373268336903
49,26804,29,8,303,175,2,0.04526283403088235,-0.04526283403088235,-2085.8225024878466
50,7421,8,29,175,303,2,0.04525941441279353,-0.04525941441279353,-2085.8225024878466
51,3781,4,85,123,559,2,0.04493768236251077,-0.04493768236251077,-2085.6146733680375
52,78544,85,4,559,123,2,0.044935693149214556,-0.044935693149214556,-2085.6146733680375
53,431722,467,214,2110,1085,2,0.043305154963102416,0.043305154963102416,-2085.3707514983457
54,198203,214,467,1085,2110,2,0.04330309440005948,0.04330309440005948,-2085.3707514983457
55,2782,3,10,119,187,2,0.042989312802676836,0.042989312802676836,-2085.9077582647415
56,9243,10,3,187,119,2,0.04298917213111587,0.04298917213111587,-2085.9077582647415
57,82699,89,463,574,2095,2,0.042976731180961736,0.042976731180961736,-2085.918238242197
58,427901,463,89,2095,574,2,0.04297647772218105,0.04297647772218105,-2085.918238242197
59,195052,211,88,1071,573,2,0.042960600506219415,-0.042960600506219415,-2085.918168670546
60,81523,88,211,573,1071,2,0.04296056020301309,-0.04296056020301309,-2085.918168670546
61,79468,86,4,567,123,2,0.04270456241521122,-0.04270456241521122,-2085.6240656263476
62,3782,4,86,123,567,2,0.04270431275249996,-0.04270431275249996,-2085.6240656263476
63,79007,85,467,559,2110,2,0.0412786580312308,0.0412786580312308,-2085.6246451176476
64,431593,467,85,2110,559,2,0.041278355817877935,0.041278355817877935,-2085.6246451176476
65,197821,214,85,1085,559,2,0.04124922051857543,-0.04124922051857543,-2085.6245660635077
66,78754,85,214,559,1085,2,0.041248016600846135,-0.041248016600846135,-2085.6245660635077
67,1858,2,10,111,187,2,0.04097787442102163,-0.04097787442102163,-2085.9074259252443
68,9242,10,2,187,111,2,0.04097641171668995,-0.04097641171668995,-2085.9074259252443
69,79931,86,467,567,2110,2,0.03936631316826845,0.03936631316826845,-2085.634032673601
70,431594,467,86,2110,567,2,0.03936625221478599,0.03936625221478599,-2085.634032673601
71,197822,214,86,1085,567,2,0.039359739543410516,-0.039359739543410516,-2085.6339999418537
72,79678,86,214,567,1085,2,0.03935870257037558,-0.03935870257037558,-2085.6339999418537
73,81524,88,212,573,1079,2,0.03875402309234466,-0.03875402309234466,-2085.9167419031933
74,195976,212,88,1079,573,2,0.038753369354306226,-0.038753369354306226,-2085.9167419031933
75,428825,464,89,2103,574,2,0.03875148812095432,0.03875148812095432,-2085.9167691138996
76,82700,89,464,574,2103,2,0.038750645975274806,0.038750645975274806,-2085.9167691138996
77,27749,30,29,311,303,2,0.03788827452920858,0.03788827452920858,-2085.7744832336552
78,26826,29,30,303,311,2,0.037887560619724064,0.037887560619724064,-2085.7744832336552
79,8320,9,4,183,123,2,0.03760729867286916,0.03760729867286916,-2085.614161909114
80,3705,4,9,123,183,2,0.037604867152937094,0.037604867152937094,-2085.614161909114
81,27750,30,30,311,311,2,0.03673706524665591,-0.03673706524665591,-2085.7383814494883
82,428748,464,12,2103,190,2,0.036286418049165985,-0.036286418049165985,-2085.8906571031
83,11552,12,464,190,2103,2,0.03628626971545776,-0.03628626971545776,-2085.8906571031
84,7396,8,4,175,123,2,0.03579319832140611,-0.03579319832140611,-2085.6212497253146
85,3704,4,8,123,175,2,0.03579280185948796,-0.03579280185948796,-2085.6212497253146
86,10376,11,212,189,1079,2,0.03563286177291046,0.03563286177291046,-2085.8886630628826
87,195899,212,11,1079,189,2,0.03563206312997981,0.03563206312997981,-2085.8886630628826
88,8783,9,467,183,2110,2,0.035359974636140774,-0.035359974636140774,-2085.6285485582575
89,431517,467,9,2110,183,2,0.03535827622471897,-0.03535827622471897,-2085.6285485582575
90,6475,7,7,159,159,2,0.035222527484724014,-0.035222527484724014,-2085.614736136301
91,134125,145,145,807,807,4,0.034557902365223096,0.034557902365223096,-2085.559412112308
92,197745,214,9,1085,183,2,0.03366959775201861,0.03366959775201861,-2085.6261776913616
93,8530,9,214,183,1085,2,0.03366833370525667,0.03366833370525667,-2085.6261776913616
94,7606,8,214,175,1085,2,0.03305039440238479,-0.03305039440238479,-2085.633223887526
95,197744,214,8,1085,175,2,0.033050303530845905,-0.033050303530845905,-2085.633223887526
96,7859,8,467,175,2110,2,0.03282864206569471,0.03282864206569471,-2085.6356410768144
97,431516,467,8,2110,175,2,0.03282723379918695,0.03282723379918695,-2085.6356410768144
98,10375,11,211,189,1071,2,0.0325344763486116,-0.0325344763486116,-2085.888291908946
99,194975,211,11,1071,189,2,0.03253053646238921,-0.03253053646238921,-2085.888291908946
100,26825,29,29,303,303,2,0.03252800693864187,-0.03252800693864187,-2085.7445093208094
