iter,selected_dim,E_var,gap_mHa,added,gain_mHa,gain_per_kdet,candidate_count,top_score,top_abs_residual,top_denom_signed,pt2_pool_Ha,wall_seconds,dt_sec,calc_gain_mHa,calc_gain_per_kdet
10,11001,-2086.634760591964,16.072723398793,1000,1.852011317169,1.852011317169,728981,3.144081682854502e-06,0.0020802368406647,-1.3763590611711152,-0.0144557507218985,79.649,13.665000000000006,1.8520113171690014,1.8520113171690014
11,12001,-2086.6362288565247,14.604458838221,1000,1.468264560572,1.468264560572,743606,3.2082082337652648e-06,0.0018800593059833,-1.101743632727448,-0.0129654412544989,89.999,10.349999999999994,1.468264560571999,1.468264560571999
12,13001,-2086.6374569846166,13.376330745814,1000,1.228128092407,1.228128092407,755496,2.1688431115355684e-06,0.002001245892327,-1.8465997380144472,-0.0117420143490964,105.204,15.204999999999998,1.2281280924069993,1.2281280924069993
13,14001,-2086.6385273618644,12.305953498526,1000,1.070377247288,1.070377247288,764834,2.009845561629053e-06,0.0024337469160769,-2.947054323275097,-0.0106810030707883,121.355,16.15100000000001,1.0703772472880004,1.0703772472880004
14,15001,-2086.639440035676,11.393279686672,1000,0.912673811854,0.912673811854,772425,1.6881012209840811e-06,0.0023173119197305,-3.181050085489005,-0.0098115252413678,131.469,10.11399999999999,0.912673811853999,0.912673811853999
15,16001,-2086.6402694380367,10.563877325694,1000,0.829402360978,0.829402360978,779407,1.2514092605036862e-06,0.0012372629059692,-1.2232764666223377,-0.0091161760325924,145.341,13.872000000000014,0.8294023609780012,0.8294023609780012
16,17001,-2086.640991159252,9.842156110608,1000,0.721721215086,0.721721215086,785297,1.057492779307058e-06,0.0011698524061297,-1.2941503515744444,-0.0084527178815889,157.927,12.585999999999984,0.7217212150859993,0.7217212150859993
17,18001,-2086.6416210726247,9.212242738158,1000,0.62991337245,0.62991337245,788988,1.089877646090757e-06,0.0015216500111153,-2.124475866288776,-0.007861194456531,173.668,15.741000000000014,0.6299133724499999,0.6299133724499999
18,19001,-2086.6421825323287,8.650783034227,1000,0.561459703931,0.561459703931,793148,9.568849218832e-07,0.0013399672943378,-1.8764140899634183,-0.007363421113302,186.404,12.73599999999999,0.5614597039309999,0.5614597039309999
19,20001,-2086.6426874577764,8.145857586442,1000,0.504925447785,0.504925447785,796076,8.011267063108174e-07,0.0011298764493619,-1.5935316857699036,-0.0069138254940483,200.932,14.527999999999992,0.5049254477850003,0.5049254477850003
20,21001,-2086.6431555915574,7.6777238055,1000,0.468133780942,0.468133780942,798847,7.76009112249506e-07,0.0013059103761646,-2.1976570682668357,-0.0065259703705993,215.746,14.814000000000021,0.46813378094199987,0.46813378094199987
21,22001,-2086.6435861505297,7.247164833188,1000,0.430558972312,0.430558972312,801728,6.488235775027777e-07,0.0009829105138888,-1.4890227664532176,-0.0061552994447254,227.996,12.25,0.43055897231200024,0.43055897231200024
22,23001,-2086.643977013452,6.856301911284,1000,0.390862921904,0.390862921904,803167,6.9631507972759e-07,0.0013779479101981,-2.726840906507732,-0.0058251015756744,241.522,13.525999999999982,0.3908629219040005,0.3908629219040005
23,24001,-2086.6443433438967,6.489971465726,1000,0.366330445559,0.366330445559,804765,5.446856918143836e-07,0.0012512622816246,-2.8744233985680694,-0.0055211252613294,256.352,14.829999999999984,0.3663304455579999,0.3663304455579999
24,25001,-2086.6446795954753,6.153719887607,1000,0.336251578119,0.336251578119,805443,5.138815337863814e-07,0.001211360164607,-2.855509201867335,-0.0052477801043958,267.435,11.083000000000027,0.33625157811899964,0.33625157811899964
25,26001,-2086.644986457306,5.846858056884,1000,0.306861830722,0.306861830722,806164,4.3292610999075937e-07,0.0012319513701893,-3.505688715665201,-0.0050061378905164,280.401,12.966000000000008,0.3068618307230002,0.3068618307230002
26,27001,-2086.645270075953,5.563239409639,1000,0.283618647245,0.283618647245,806999,3.919062930875511e-07,0.0007549048710772,-1.4541265971679422,-0.0047668729580985,294.096,13.694999999999993,0.2836186472449995,0.2836186472449995
27,28001,-2086.645535475244,5.297840118601,1000,0.265399291038,0.265399291038,807547,3.6718201106789845e-07,0.0007883573824972,-1.692641098430613,-0.0045444879953146,307.598,13.50200000000001,0.2653992910380003,0.2653992910380003
